"Canadian
Banking(1)",,Total
"$ 10,185
2,848","$ 8,867 $ 786 $ 1,102 $ (1,688)
2,999 4,803 3,959 (191)","$ 19,252
14,418"
"13,033
1,691
6,125
1,440","11,866 5,589 5,061 (1,879)
2,285 27 47 1
6,170 3,655 3,122 623
705 479 414 (1,006)","33,670
4,051
19,695
2,032"
"$ 3,777","$ 2,706 $ 1,428 $ 1,478 $ (1,497)","$ 7,892"
–,125 10 – (1),134
"$ 3,777","$ 2,581 $ 1,418 $ 1,478 $ (1,496)","$ 7,758"
"18.3%
$ 449
$ 389","13.5% 13.9% 9.6% nm
$ 231 $ 35 $ 495 $ 209
$ 179 $ 41 $ 475 $ 254","10.2%
$ 1,419
$ 1,338"
