2025,2024,2025
,"$ 7,669
205
456
27
(404)
959
–
–
(2)
(19)",
"$ 8,891",,"$ 1,147"
244,,22
432,,70
26,,–
(438),,(94)
8,,55
32,,(63)
–,,(2)
–,,–
37,,19
"$ 9,232","$ 8,891","$ 1,154"
,"8,139
494
955
62
27
(404)
(13)
–
(3)
3",
"9,260",,84
467,,8
421,,(1)
222,,61
26,,–
(438),,(94)
(12),,–
–,,–
–,,–
10,,5
"$ 9,956","$ 9,260",$ 63
,"369
(208)",
724,,"(1,091)"
(223),,–
$ 501,$ 161,"$ (1,091)"
,"684
(523)",
"1,036",,1
(535),,"(1,092)"
$ 501,$ 161,"$ (1,091)"
,"205
(32)
12
–
1
–",
244,,22
(13),,62
12,,–
32,,(63)
–,,–
–,,2
$ 275,$ 186,$ 23
$ 205,$ 183,$ 1
,"955
(959)
(146)",
421,,(1)
(8),,(53)
6,,–
$ 419,$ (150),$ (54)
$ 61,$ 519,$ 78
,"$ (1,436)
7
(952)
(14)
67
4
55
6
146
1",
$ (876),,$ (7)
4,,(11)
(16),,(47)
4,,3
,,
54,,–
3,,–
,,
208,,–
22,,–
(6),,–
(1),,–
$ 223,$ 208,$ –
