T51 Market risk measures*,,
($ millions),2025,"2024
Year end Avg High Low"
,Year end Avg High Low,
"Credit Spread plus Interest Rate
Credit Spread(1)
Interest Rate
Equities
Foreign Exchange
Commodities
Debt Specific
Diversification Effect
All-Bank VaR","$ 9.5 $ 14.3 $ 22.2 $ 8.8
8.1 10.3 18.7 6.6
9.6 13.7 28.5 6.0
3.4 4.8 9.9 1.9
3.5 2.6 5.9 0.7
3.2 3.5 6.7 2.2
n/a n/a n/a n/a","$ 12.5 $ 13.6 $ 34.3 $ 6.8
7.3 8.4 13.6 5.9
17.5 12.3 26.9 5.8
5.4 5.1 10.1 3.0
2.9 3.2 9.4 1.1
2.8 2.6 4.6 1.3
3.6 3.4 4.8 2.3"
,(10.7) (11.6) n.m. n.m.,(15.0) (13.1) n.m. n.m.
,$ 8.9 $ 13.6 $ 21.6 $ 7.1,$ 12.1 $ 14.9 $ 24.2 $ 8.3
"(1) Effective November 1, 2024, credit spread VaR also captures issuer-specific credit spread volatility which was previously included in debt specific VaR.
n.m. Not meaningful",,
