"As at October 31, 2025",,
"Fair value
November 1
2024","Gains/(losses) Gains/(losses) Transfers Fair value
recorded in recorded in Purchases/ Sales/ into/out of October 31
income(1) OCI Issuances Settlements Level 3 2025","Change in
unrealized
gains/(losses)
recorded in
income for
instruments
still held(2)"
,,
$ –,$ – $ – $ 1 $ (179) $ 179 $ 1,$ –
4,– – – – (4) –,–
21,– – 7 (19) 3 12,1
25,– – 8 (198) 178 13,1
,,
35,(5) – – – 2 32,(5)
"1,866","148 69 197 (228) (6) 2,046",141
"1,901","143 69 197 (228) (4) 2,078",136
,,
–,2 – 4 (3) – 3,2(4)
–,– – 2 – (1) 1,–
44,97 – 17 – 3 161,97(3)
2,(1) – 3 – – 4,(1)
7,9 – – – – 16,9
,,
(13),(10) – (5) 22 (2) (8),(10)(4)
(19),(15) – (26) – 17 (43),(15)(3)
(1),1 – (2) – – (2),1
(10),(2) – – – – (12),(2)
10,81 – (7) 19 17 120,81
(2),– – – – 2 –,–
"$ 1,934","$ 224 $ 69 $ 198 $ (407) $ 193 $ 2,211",$ 218
