,2025,,,
"Gross
impaired
loans","Allowance Net
for credit impaired
losses loans",,,
"$ 1,368
911","$ 413
254","$ 955
657","$ 1,212
840","$ 365
186"
"$ 2,279",$ 667,"$ 1,612","$ 2,052",$ 551
"$ 578
1,494
818
1,412
364
149","$ 157
535
400
328
132
101","$ 421
959
418
1,084
232
48","$ 665
1,343
715
1,249
322
166","$ 158
424
385
281
109
102"
"4,237","1,496","2,741","3,795","1,301"
"$ 4,815","$ 1,653","$ 3,162","$ 4,460","$ 1,459"
"$ 92
$ 58
–
–","$ 18
$ 3
–
–","$ 74
$ 55
–
–","$ 71
$ 47
109
–","$ 21
$ 1
22
–"
$ 58,$ 3,$ 55,$ 156,$ 23
"$ 7,244","$ 2,341","$ 4,903","$ 6,739","$ 2,054"
