2025,,"2025
versus
2024"
"$ 6,040
2,591
407
1,786","$ 5,663
2,170
371
1,651","7%
19
10
8"
"$ 10,824","$ 9,855",10%
"558
2,739","571
2,325","(2)
18"
"$ 3,297","$ 2,896",14%
"683
921","730
1,030","(6)
(11)"
"$ 1,604","$ 1,760",(9)%
$ 384,$ 381,1%
$ 672,$ 614,9%
$ 880,$ 793,11%
"626
82","617
65","1
26"
$ 708,$ 682,4%
"$ 4,149","$ 2,714",53%
"$ 22,518","$ 19,695",14%
"(1,422)
(373)
(74)
(68)
–","7
(53)
(176)
(72)
(440)",
"(1,937)
(54)
(78)
(34)
(1,771)","(734)
(46)
(169)
–
(519)",
"(1,937)",(734),
"$ 20,581","$ 18,961",9%
"59.7%
54.5%","58.5%
56.1%",
