"AOCI gains/
(losses) as at
November 1,
2024","Amount
reclassified
to net
Net gains/ income as AOCI gains/
(losses) the hedged (losses) as at
recognized in item affects October 31,
OCI net income(1) 2025","Balance in cash flow hedge
reserve/unrealized foreign
currency translation account
as at October 31, 2025"
,,"Active Discontinued
hedges hedges"
,,
"$ (1,176)",$ 176 $ 742 $ (258) $ 332 $ (590),
(699),168 249 (282) (296) 14,
"(1,197)","3,236 (3,165) (1,126) (1,102) (24)",
57,357 (319) 95 95 –,
"(3,015)","3,937 (2,493) (1,571) (971) (600)",
,,
"(3,175)","(1,361) 139 (4,397) (4,326) (71)",
"$ (6,190)","$ 2,576 $ (2,354) $ (5,968) $ (5,297) $ (671)",
