"1 The index of risks to which the business is exposed.
2 The Bank’s risk terminology, measures and key parameters.
3 Top and emerging risks, and the changes during the reporting period.
4 Discussion on the regulatory development and plans to meet new
regulatory ratios.","16
76-83
85-87, 91-96
60-63, 120-121",
"5 The Bank’s Risk Governance structure.
6 Description of risk culture and procedures applied to support the culture.
7 Description of key risks from the Bank’s business model.
8 Stress testing use within the Bank’s risk governance and capital
management.","78-80
80-83
84
80-82",
"9 Pillar 1 capital requirements, and the impact for global systemically
important banks.
10 a) Regulatory capital components.
b) Reconciliation of the accounting balance sheet to the regulatory balance
sheet.
11 Flow statement of the movements in regulatory capital since the previous
reporting period, including changes in common equity tier 1, additional tier 1
and tier 2 capital.
12 Discussion of targeted level of capital, and the plans on how to establish this.
13 Analysis of risk-weighted assets by risk type, business, and market risk
RWAs.
14 Analysis of the capital requirements for each Basel asset class.
15 Tabulate credit risk in the Banking Book.
16 Flow statements reconciling the movements in risk-weighted assets for each
risk-weighted asset type.
17 Discussion of Basel III Back-testing requirement including credit risk model
performance and validation.","60-63
64
65-66
60-63
68-73, 84, 127
68-73
68-73
68-73
69-71","208
178
178, 224-228
225"
"18 Analysis of the Bank’s liquid assets.
19 Encumbered and unencumbered assets analyzed by balance sheet
category.
20 Consolidated total assets, liabilities and off-balance sheet commitments
analyzed by remaining contractual maturity at the balance sheet date.
21 Analysis of the Bank’s sources of funding and a description of the Bank’s
funding strategy.","103-108
105
109-111
108-109",
"22 Linkage of market risk measures for trading and non-trading portfolios and
the balance sheet.
23 Discussion of significant trading and non-trading market risk factors.
24 Discussion of changes in period on period VaR results as well as VaR
assumptions, limitations, backtesting and validation.
25 Other risk management techniques e.g. stress tests, tail risk and market
liquidity horizon.","102
97-103
97-103
97-103",
"26 Analysis of the aggregate credit risk exposures, including details of both
personal and wholesale lending.
27 Discussion of the policies for identifying impaired loans, defining
impairments and renegotiated loans, and explaining loan forbearance
policies.
28 Reconciliations of the opening and closing balances of impaired loans and
impairment allowances during the year.
29 Analysis of counterparty credit risk that arises from derivative transactions.
30 Discussion of credit risk mitigation, including collateral held for all sources of
credit risk.","91-96, 123-127
93, 122-125
88-90
89-91, 94","188-189, 225-228
158-160
189
176-179"
